trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.880733672597157, 'e': 0.9819096829231898}",35,0,-160.9729285571679,"{0: 20, 1: 7, 2: 5, 3: 1, 4: 2}",0
128,False,"{'a': 0.8798533791446438, 'e': 0.9816245535713135}",25,0,-124.92547691364189,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
129,False,"{'a': 0.8789739655455832, 'e': 0.981337215564606}",25,0,-108.53243690240828,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
130,False,"{'a': 0.8780954309205613, 'e': 0.9810476695495772}",30,10,-51.351240684189776,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.980755916177706}",25,0,-204.74363563293807,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
132,False,"{'a': 0.8763409950793734, 'e': 0.9804619561054371}",20,0,-56.857815850964485,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.8754650921087711, 'e': 0.9801657899941806}",30,3,-155.76180567632397,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 2}",1
134,False,"{'a': 0.874590064603334, 'e': 0.97986741851031}",30,0,-205.74312188662913,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
135,False,"{'a': 0.8737159116880344, 'e': 0.9795668423251612}",25,0,-133.2896661877274,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
136,False,"{'a': 0.8728426324887193, 'e': 0.9792640621150305}",25,0,-218.81051984059687,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
137,False,"{'a': 0.8719702261321094, 'e': 0.9789590785611731}",30,0,-136.03366265603515,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
138,False,"{'a': 0.8710986917457983, 'e': 0.978651892349802}",25,12,-78.22907219208737,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.9783425041720859}",25,0,-79.68965979067923,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
140,False,"{'a': 0.8693582353988059, 'e': 0.9780309147241483}",30,0,-166.9548530150073,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
141,False,"{'a': 0.8684893116976679, 'e': 0.9777171247070651}",30,0,-177.83792352618286,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
142,False,"{'a': 0.867621256485914, 'e': 0.9774011348268636}",20,0,-167.02587082598305,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
143,False,"{'a': 0.866754068895489, 'e': 0.9770829457945213}",30,0,-109.90162570558562,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
144,False,"{'a': 0.865887748059205, 'e': 0.9767625583259631}",20,12,0.34233023301819965,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.9764399731420608}",25,0,-117.32931918970277,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
146,False,"{'a': 0.8641577031846428, 'e': 0.9761151909686308}",25,0,-55.18189043150827,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
147,False,"{'a': 0.8632939774163194, 'e': 0.9757882125364329}",25,0,-232.88423816958988,"{0: 9, 1: 3, 2: 9, 3: 1, 4: 3}",0
148,False,"{'a': 0.8624311149420455, 'e': 0.9754590385811684}",20,0,-157.47131735254078,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.9751276698434788}",25,0,-244.02773690571442,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
150,False,"{'a': 0.8607079764250578, 'e': 0.9747941070689433}",20,0,-130.78083224905973,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
151,False,"{'a': 0.8598476986592055, 'e': 0.9744583510080781}",20,0,-147.66173326746656,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
152,False,"{'a': 0.8589882807411235, 'e': 0.9741204024163344}",20,0,-147.61509256764995,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
153,False,"{'a': 0.8581297218113938, 'e': 0.9737802620540961}",25,0,-62.64147242735946,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.8572720210114575, 'e': 0.9734379306866789}",30,0,-205.0839834746649,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
155,False,"{'a': 0.8564151774836135, 'e': 0.9730934090843285}",25,0,-3.254062788714525,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.8555591903710185, 'e': 0.9727466980222181}",25,0,-151.11803229562986,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
157,False,"{'a': 0.8547040588176851, 'e': 0.9723977982804476}",30,0,-232.58853536849756,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 5}",0
158,False,"{'a': 0.8538497819684817, 'e': 0.9720467106440411}",25,0,-121.06273882512008,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
159,False,"{'a': 0.8529963589691315, 'e': 0.9716934359029458}",20,0,-59.957713429688624,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
160,False,"{'a': 0.8521437889662113, 'e': 0.9713379748520297}",20,8,-53.90340897120357,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.9709803282910798}",20,0,-107.0093672469313,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
162,False,"{'a': 0.850441204540233, 'e': 0.970620497024801}",20,0,-128.42424693072198,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
163,False,"{'a': 0.8495911884145902, 'e': 0.9702584818628133}",30,0,-119.84071699206122,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
